Título,Preço (£),Classificação,Categoria
Sharp Objects,47.82,Four,Mystery
"In a Dark, Dark Wood",19.63,One,Mystery
The Past Never Ends,56.5,Four,Mystery
A Murder in Time,16.64,One,Mystery
The Murder of Roger Ackroyd (Hercule Poirot #4),44.1,Four,Mystery
The Last Mile (Amos Decker #2),54.21,Two,Mystery
That Darkness (Gardiner and Renner #1),13.92,One,Mystery
Tastes Like Fear (DI Marnie Rome #3),10.69,One,Mystery
A Time of Torment (Charlie Parker #14),48.35,Five,Mystery
A Study in Scarlet (Sherlock Holmes #1),16.73,Two,Mystery
Poisonous (Max Revere Novels #3),26.8,Three,Mystery
Murder at the 42nd Street Library (Raymond Ambler #1),54.36,Four,Mystery
Most Wanted,35.28,Three,Mystery
Hide Away (Eve Duncan #20),11.84,One,Mystery
Boar Island (Anna Pigeon #19),59.48,Three,Mystery
The Widow,27.26,Two,Mystery
Playing with Fire,13.71,Three,Mystery
What Happened on Beale Street (Secrets of the South Mysteries #2),25.37,Five,Mystery
The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),52.3,Five,Mystery
Delivering the Truth (Quaker Midwife Mystery #1),20.89,Four,Mystery
The Mysterious Affair at Styles (Hercule Poirot #1),24.8,Four,Mystery
In the Woods (Dublin Murder Squad #1),38.38,Two,Mystery
The Silkworm (Cormoran Strike #2),23.05,Five,Mystery
The Exiled,43.45,Three,Mystery
The Cuckoo's Calling (Cormoran Strike #1),19.21,One,Mystery
Extreme Prey (Lucas Davenport #26),25.4,Three,Mystery
Career of Evil (Cormoran Strike #3),24.72,Two,Mystery
The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1),57.7,Four,Mystery
The Girl You Lost,12.29,Five,Mystery
The Girl In The Ice (DCI Erika Foster #1),15.85,Three,Mystery
Blood Defense (Samantha Brinkman #1),20.3,Three,Mystery
1st to Die (Women's Murder Club #1),53.98,One,Mystery
Tipping the Velvet,53.74,One,Historical Fiction
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,29.69,Three,Historical Fiction
A Flight of Arrows (The Pathfinders #2),55.53,Five,Historical Fiction
The House by the Lake,36.95,One,Historical Fiction
Mrs. Houdini,30.25,Five,Historical Fiction
The Marriage of Opposites,28.08,Four,Historical Fiction
Glory over Everything: Beyond The Kitchen House,45.84,Three,Historical Fiction
"Love, Lies and Spies",20.55,Two,Historical Fiction
A Paris Apartment,39.01,Four,Historical Fiction
Lilac Girls,17.28,Two,Historical Fiction
The Constant Princess (The Tudor Court #1),16.62,Three,Historical Fiction
The Invention of Wings,37.34,One,Historical Fiction
World Without End (The Pillars of the Earth #2),32.97,Four,Historical Fiction
The Passion of Dolssa,28.32,Five,Historical Fiction
Girl With a Pearl Earring,26.77,One,Historical Fiction
Voyager (Outlander #3),21.07,Five,Historical Fiction
The Red Tent,35.66,Five,Historical Fiction
The Last Painting of Sara de Vos,55.55,Two,Historical Fiction
The Guernsey Literary and Potato Peel Pie Society,49.53,One,Historical Fiction
Girl in the Blue Coat,46.83,Two,Historical Fiction
Between Shades of Gray,20.79,Five,Historical Fiction
While You Were Mine,41.32,Five,Historical Fiction
The Secret Healer,34.56,Three,Historical Fiction
Starlark,25.83,Three,Historical Fiction
Lost Among the Living,27.7,Four,Historical Fiction
A Spy's Devotion (The Regency Spies of London #1),16.97,Five,Historical Fiction
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,Five,Sequential Art
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),16.28,One,Sequential Art
This One Summer,19.49,Four,Sequential Art
The Nameless City (The Nameless City #1),38.16,Four,Sequential Art
"Saga, Volume 5 (Saga (Collected Editions) #5)",51.04,Two,Sequential Art
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",50.4,Three,Sequential Art
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",13.61,Five,Sequential Art
"Pop Gun War, Volume 1: Gift",18.97,One,Sequential Art
Patience,10.16,Three,Sequential Art
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",15.44,Four,Sequential Art
orange: The Complete Collection 1 (orange: The Complete Collection #1),48.41,One,Sequential Art
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",46.91,Two,Sequential Art
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",45.61,Three,Sequential Art
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),19.92,Two,Sequential Art
"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",29.17,Two,Sequential Art
I am a Hero Omnibus Volume 1,54.63,Three,Sequential Art
"Giant Days, Vol. 2 (Giant Days #5-8)",22.11,Two,Sequential Art
Danganronpa Volume 1,51.99,Four,Sequential Art
"Codename Baboushka, Volume 1: The Conclave of Death",36.72,Four,Sequential Art
Camp Midnight,17.08,Four,Sequential Art
"Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions))",37.92,Two,Sequential Art
The Shadow Hero (The Shadow Hero),33.14,One,Sequential Art
"Fables, Vol. 1: Legends in Exile (Fables #1)",41.62,Four,Sequential Art
Batman: The Long Halloween (Batman),36.5,Two,Sequential Art
Batman: The Dark Knight Returns (Batman),15.38,Five,Sequential Art
"Wonder Woman: Earth One, Volume One (Wonder Woman: Earth One #1)",37.34,Four,Sequential Art
"We Are Robin, Vol. 1: The Vigilante Business (We Are Robin #1)",53.9,One,Sequential Art
Through the Woods,25.38,Two,Sequential Art
Superman Vol. 1: Before Truth (Superman by Gene Luen Yang #1),11.89,Five,Sequential Art
"So Cute It Hurts!!, Vol. 6 (So Cute It Hurts!! #6)",35.43,Four,Sequential Art
Robin War,47.82,Three,Sequential Art
"Red Hood/Arsenal, Vol. 1: Open for Business (Red Hood/Arsenal #1)",25.48,Two,Sequential Art
"Naruto (3-in-1 Edition), Vol. 14: Includes Vols. 40, 41 & 42 (Naruto: Omnibus #14)",38.39,Two,Sequential Art
Lowriders to the Center of the Earth (Lowriders in Space #2),51.51,Two,Sequential Art
El Deafo,57.62,Five,Sequential Art
Batman: Europa,32.01,Two,Sequential Art
Art Ops Vol. 1,48.8,Three,Sequential Art
"Adulthood Is a Myth: A ""Sarah's Scribbles"" Collection",10.9,Two,Sequential Art
"Fruits Basket, Vol. 9 (Fruits Basket #9)",33.95,Four,Sequential Art
Roller Girl,14.1,Five,Sequential Art
"Fruits Basket, Vol. 7 (Fruits Basket #7)",19.57,One,Sequential Art
"Fruits Basket, Vol. 6 (Fruits Basket #6)",20.96,Four,Sequential Art
"Death Note, Vol. 6: Give-and-Take (Death Note #6)",36.39,Three,Sequential Art
"Fruits Basket, Vol. 5 (Fruits Basket #5)",16.33,One,Sequential Art
"Death Note, Vol. 5: Whiteout (Death Note #5)",52.41,One,Sequential Art
"The Demon Prince of Momochi House, Vol. 4 (The Demon Prince of Momochi House #4)",27.88,Two,Sequential Art
"Fruits Basket, Vol. 4 (Fruits Basket #4)",50.44,Four,Sequential Art
"The Wicked + The Divine, Vol. 3: Commercial Suicide (The Wicked + The Divine)",14.41,Three,Sequential Art
"The Sandman, Vol. 3: Dream Country (The Sandman (volumes) #3)",55.55,Five,Sequential Art
"Saga, Volume 3 (Saga (Collected Editions) #3)",21.57,Five,Sequential Art
Prodigy: The Graphic Novel (Legend: The Graphic Novel #2),43.63,Three,Sequential Art
Persepolis: The Story of a Childhood (Persepolis #1-2),39.13,One,Sequential Art
Original Fake,31.45,Three,Sequential Art
"Grayson, Vol 3: Nemesis (Grayson #3)",42.72,One,Sequential Art
"Fruits Basket, Vol. 3 (Fruits Basket #3)",45.17,Two,Sequential Art
"Black Butler, Vol. 1 (Black Butler #1)",49.31,One,Sequential Art
Awkward,38.02,Two,Sequential Art
"The Sandman, Vol. 2: The Doll's House (The Sandman (volumes) #2)",54.81,One,Sequential Art
"Saga, Volume 2 (Saga (Collected Editions) #2)",11.75,Three,Sequential Art
"Fruits Basket, Vol. 2 (Fruits Basket #2)",11.64,Five,Sequential Art
"Y: The Last Man, Vol. 1: Unmanned (Y: The Last Man #1)",18.51,Four,Sequential Art
"The Wicked + The Divine, Vol. 1: The Faust Act (The Wicked + The Divine)",36.52,Two,Sequential Art
"The Sandman, Vol. 1: Preludes and Nocturnes (The Sandman (volumes) #1)",54.12,Three,Sequential Art
The Complete Maus (Maus #1-2),10.64,Three,Sequential Art
"Skip Beat!, Vol. 01 (Skip Beat! #1)",42.12,Three,Sequential Art
"Saga, Volume 1 (Saga (Collected Editions) #1)",28.48,One,Sequential Art
"Rat Queens, Vol. 1: Sass & Sorcery (Rat Queens (Collected Editions) #1-5)",46.96,Five,Sequential Art
"Paper Girls, Vol. 1 (Paper Girls #1-5)",21.71,Four,Sequential Art
"Ouran High School Host Club, Vol. 1 (Ouran High School Host Club #1)",29.87,Three,Sequential Art
"Ms. Marvel, Vol. 1: No Normal (Ms. Marvel (2014-2015) #1)",39.39,Four,Sequential Art
"Hawkeye, Vol. 1: My Life as a Weapon (Hawkeye #1)",45.24,Three,Sequential Art
"Giant Days, Vol. 1 (Giant Days #1-4)",56.76,Four,Sequential Art
"Fruits Basket, Vol. 1 (Fruits Basket #1)",40.28,Five,Sequential Art
"Bleach, Vol. 1: Strawberry and the Soul Reapers (Bleach #1)",34.65,Five,Sequential Art
"Ajin: Demi-Human, Volume 1 (Ajin: Demi-Human #1)",57.06,Four,Sequential Art
Chase Me (Paris Nights #2),25.27,Five,Romance
Black Dust,34.53,Five,Romance
Her Backup Boyfriend (The Sorensen Family #1),33.97,One,Romance
First and First (Five Boroughs #3),15.97,Four,Romance
Fifty Shades Darker (Fifty Shades #2),21.96,One,Romance
The Wedding Dress,24.12,One,Romance
Suddenly in Love (Lake Haven #1),55.99,Two,Romance
Something More Than This,16.24,Four,Romance
Doing It Over (Most Likely To #1),35.61,Three,Romance
The Wedding Pact (The O'Malleys #2),32.61,Three,Romance
Hold Your Breath (Search and Rescue #1),28.82,One,Romance
Dirty (Dive Bar #1),40.83,Four,Romance
Take Me Home Tonight (Rock Star Romance #3),53.98,Three,Romance
Off the Hook (Fishing for Trouble #1),47.67,Three,Romance
A Gentleman's Position (Society of Gentlemen #3),14.75,Five,Romance
"Sit, Stay, Love",20.9,Three,Romance
A Girl's Guide to Moving On (New Beginnings #2),31.3,One,Romance
The Perfect Play (Play by Play #1),59.99,Three,Romance
Dark Lover (Black Dagger Brotherhood #1),12.87,One,Romance
Changing the Game (Play by Play #2),13.38,Three,Romance
A Walk to Remember,56.43,One,Romance
The Purest Hook (Second Circle Tattoos #3),12.25,One,Romance
The Obsession,45.43,One,Romance
Reservations for Two,11.1,Three,Romance
Best of My Love (Fool's Gold #20),27.41,Two,Romance
Where Lightning Strikes (Bleeding Stars #3),39.77,Three,Romance
This One Moment (Pushing Limits #1),48.71,One,Romance
"Rhythm, Chord & Malykhin",28.34,Two,Romance
My Perfect Mistake (Over the Top #1),38.92,Two,Romance
Listen to Me (Fusion #1),58.99,Three,Romance
Imperfect Harmony,34.74,Four,Romance
Fighting Fate (Fighting #6),39.24,Three,Romance
Deep Under (Walker Security #1),47.09,Five,Romance
Charity's Cross (Charles Towne Belles #4),41.24,One,Romance
Bounty (Colorado Mountain #7),37.26,Four,Romance
Soumission,50.1,One,Fiction
Private Paris (Private #10),47.61,Five,Fiction
"We Love You, Charlie Freeman",50.27,Five,Fiction
Thirst,17.27,Five,Fiction
The Murder That Never Was (Forensic Instincts #5),54.11,Three,Fiction
Tuesday Nights in 1980,21.04,Two,Fiction
The Vacationers,42.15,Four,Fiction
The Regional Office Is Under Attack!,51.36,Five,Fiction
Finders Keepers (Bill Hodges Trilogy #2),53.53,Five,Fiction
The Time Keeper,27.88,Five,Fiction
The Testament of Mary,52.67,Four,Fiction
The First Hostage (J.B. Collins #2),25.85,Three,Fiction
Take Me with You,45.21,Three,Fiction
Still Life with Bread Crumbs,26.41,Three,Fiction
Shtum,55.84,Four,Fiction
My Name Is Lucy Barton,41.56,One,Fiction
My Mrs. Brown,24.48,Three,Fiction
Mr. Mercedes (Bill Hodges Trilogy #1),28.9,One,Fiction
I Am Pilgrim (Pilgrim #1),10.6,Four,Fiction
Eligible (The Austen Project #4),27.09,Three,Fiction
Eight Hundred Grapes,14.39,Four,Fiction
Dear Mr. Knightley,11.21,Five,Fiction
Cometh the Hour (The Clifton Chronicles #6),25.01,Three,Fiction
Balloon Animals,17.03,Three,Fiction
A Man Called Ove,39.72,One,Fiction
The Silent Sister (Riley MacPherson #1),46.29,Five,Fiction
The Dinner Party,56.54,Two,Fiction
The Improbability of Love,59.45,One,Fiction
Mothering Sunday,13.34,Two,Fiction
Lies and Other Acts of Love,45.14,One,Fiction
Daredevils,16.34,Three,Fiction
11/22/63,48.48,Three,Fiction
The Shack,28.03,One,Fiction
The High Mountains of Portugal,51.15,One,Fiction
Miller's Valley,58.54,Two,Fiction
Hystopia: A Novel,21.96,Four,Fiction
The Bourne Identity (Jason Bourne #1),42.78,Four,Fiction
Sister Dear,40.2,Four,Fiction
Memoirs of a Geisha,49.67,Three,Fiction
Me Before You (Me Before You #1),19.02,One,Fiction
Deception Point,40.32,Four,Fiction
The Little Paris Bookshop,24.73,Three,Fiction
The Firm,45.56,Three,Fiction
The Expatriates,44.58,Two,Fiction
Siddhartha,34.22,Five,Fiction
Last One Home (New Beginnings #1),59.98,Three,Fiction
Digital Fortress,58.0,Five,Fiction
Atlas Shrugged,26.58,Five,Fiction
Three-Martini Lunch,23.21,Three,Fiction
The Nightingale,26.26,Four,Fiction
The Infinities,27.41,One,Fiction
The Husband's Secret,52.51,Five,Fiction
The Da Vinci Code (Robert Langdon #2),22.96,Two,Fiction
The Art of Fielding,22.1,One,Fiction
Lila (Gilead #3),12.47,Three,Fiction
Jurassic Park (Jurassic Park #1),44.97,One,Fiction
Inferno (Robert Langdon #4),41.0,Five,Fiction
Crazy Rich Asians (Crazy Rich Asians #1),49.13,Five,Fiction
Big Little Lies,22.11,One,Fiction
The Course of Love,16.78,Three,Fiction
When I'm Gone,51.96,Three,Fiction
The Silent Wife,12.34,Five,Fiction
The Bette Davis Club,30.66,Three,Fiction
Kitchens of the Great Midwest,57.2,Five,Fiction
Bright Lines,39.07,Five,Fiction
Birdsong: A Story in Pictures,54.64,Three,Childrens
The Bear and the Piano,36.89,One,Childrens
The Secret of Dreadwillow Carse,56.13,One,Childrens
The White Cat and the Monk: A Retelling of the Poem “Pangur Bán”,58.08,Four,Childrens
Little Red,13.47,Three,Childrens
Walt Disney's Alice in Wonderland,12.96,Five,Childrens
Twenty Yawns,22.08,Two,Childrens
Rain Fish,23.57,Three,Childrens
Once Was a Time,18.28,Two,Childrens
Luis Paints the World,53.95,Three,Childrens
Nap-a-Roo,25.08,One,Childrens
The Whale,35.96,Four,Childrens
"Shrunken Treasures: Literary Classics, Short, Sweet, and Silly",52.87,Three,Childrens
Raymie Nightingale,34.41,Two,Childrens
Playing from the Heart,32.38,One,Childrens
Maybe Something Beautiful: How Art Transformed a Neighborhood,22.54,One,Childrens
The Wild Robot,56.07,Three,Childrens
The Thing About Jellyfish,48.77,One,Childrens
The Lonely Ones,43.59,Five,Childrens
The Day the Crayons Came Home (Crayons),26.33,Five,Childrens
The Cat in the Hat (Beginner Books B-1),16.26,Two,Childrens
Red: The True Story of Red Riding Hood,28.54,Three,Childrens
Horrible Bear!,37.52,Two,Childrens
Green Eggs and Ham (Beginner Books B-16),10.79,Four,Childrens
Counting Thyme,10.62,One,Childrens
Are We There Yet?,10.66,Three,Childrens
Diary of a Minecraft Zombie Book 1: A Scare of a Dare (An Unofficial Minecraft Book),52.88,Four,Childrens
Matilda,28.34,One,Childrens
Charlie and the Chocolate Factory (Charlie Bucket #1),22.85,Three,Childrens
Worlds Elsewhere: Journeys Around Shakespeare’s Globe,40.3,Five,Nonfiction
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,31.05,Three,Nonfiction
Reasons to Stay Alive,26.41,Two,Nonfiction
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,23.11,Five,Nonfiction
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",44.18,Four,Nonfiction
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,31.12,Three,Nonfiction
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,16.77,Three,Nonfiction
The Gutsy Girl: Escapades for Your Life of Epic Adventure,37.13,One,Nonfiction
The Electric Pencil: Drawings from Inside State Hospital No. 3,56.06,One,Nonfiction
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,41.83,Four,Nonfiction
Reskilling America: Learning to Labor in the Twenty-First Century,19.83,Two,Nonfiction
In the Country We Love: My Family Divided,22.0,Four,Nonfiction
Everydata: The Misinformation Hidden in the Little Data You Consume Every Day,54.35,Two,Nonfiction
Call the Nurse: True Stories of a Country Nurse on a Scottish Isle,29.14,Five,Nonfiction
Algorithms to Live By: The Computer Science of Human Decisions,30.81,One,Nonfiction
The Power of Now: A Guide to Spiritual Enlightenment,43.54,Two,Nonfiction
The Omnivore's Dilemma: A Natural History of Four Meals,38.21,Two,Nonfiction
The Genius of Birds,17.24,One,Nonfiction
The Artist's Way: A Spiritual Path to Higher Creativity,38.49,Five,Nonfiction
So You've Been Publicly Shamed,12.23,Two,Nonfiction
"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",19.43,Three,Nonfiction
Big Magic: Creative Living Beyond Fear,30.8,Three,Nonfiction
Becoming Wise: An Inquiry into the Mystery and Art of Living,27.43,Two,Nonfiction
Agnostic: A Spirited Manifesto,12.51,Five,Nonfiction
Whole Lotta Creativity Going On: 60 Fun and Unusual Exercises to Awaken and Strengthen Your Creativity,38.2,Four,Nonfiction
What's It Like in Space?: Stories from Astronauts Who've Been There,19.6,Two,Nonfiction
The Year of Magical Thinking,43.04,Two,Nonfiction
The Literature Book (Big Ideas Simply Explained),17.43,Three,Nonfiction
The Bad-Ass Librarians of Timbuktu: And Their Race to Save the World’s Most Precious Manuscripts,15.77,One,Nonfiction
Swell: A Year of Waves,45.58,One,Nonfiction
No Dream Is Too High: Life Lessons From a Man Who Walked on the Moon,21.95,Two,Nonfiction
Looking for Lovely: Collecting the Moments that Matter,29.14,Five,Nonfiction
Let It Out: A Journey Through Journaling,26.79,Five,Nonfiction
Hamilton: The Revolution,58.79,Three,Nonfiction
"Far & Away: Places on the Brink of Change: Seven Continents, Twenty-Five Years",15.06,Four,Nonfiction
"Eaternity: More than 150 Deliciously Easy Vegan Recipes for a Long, Healthy, Satisfied, Joyful Life",51.75,Five,Nonfiction
Buying In: The Secret Dialogue Between What We Buy and Who We Are,37.8,Four,Nonfiction
Brain on Fire: My Month of Madness,49.32,Five,Nonfiction
Abstract City,56.37,Five,Nonfiction
13 Hours: The Inside Account of What Really Happened In Benghazi,27.06,One,Nonfiction
The Lonely City: Adventures in the Art of Being Alone,33.26,Two,Nonfiction
The Diary of a Young Girl,59.9,Three,Nonfiction
Snatched: How A Drug Queen Went Undercover for the DEA and Was Kidnapped By Colombian Guerillas,21.21,Three,Nonfiction
Furiously Happy: A Funny Book About Horrible Things,41.46,Four,Nonfiction
"The Sleep Revolution: Transforming Your Life, One Night at a Time",11.68,Four,Nonfiction
"Mother, Can You Not?",16.89,Five,Nonfiction
A Mother's Reckoning: Living in the Aftermath of Tragedy,19.53,Three,Nonfiction
"10% Happier: How I Tamed the Voice in My Head, Reduced Stress Without Losing My Edge, and Found Self-Help That Actually Works",24.57,Two,Nonfiction
Chernobyl 01:23:40: The Incredible True Story of the World's Worst Nuclear Disaster,35.92,Two,Nonfiction
"Zero to One: Notes on Startups, or How to Build the Future",34.06,Three,Nonfiction
Why Not Me?,17.76,One,Nonfiction
When Breath Becomes Air,39.36,Two,Nonfiction
"The Midnight Assassin: Panic, Scandal, and the Hunt for America's First Serial Killer",28.45,Four,Nonfiction
Smarter Faster Better: The Secrets of Being Productive in Life and Business,38.89,Five,Nonfiction
Rising Strong,21.82,Three,Nonfiction
Man's Search for Meaning,29.48,Three,Nonfiction
"Love That Boy: What Two Presidents, Eight Road Trips, and My Son Taught Me About a Parent's Expectations",25.06,Two,Nonfiction
Living Forward: A Proven Plan to Stop Drifting and Get the Life You Want,12.55,Three,Nonfiction
I Will Find You,44.21,One,Nonfiction
Brazen: The Courage to Find the You That's Been Hiding,19.22,Two,Nonfiction
Between the World and Me,56.91,Four,Nonfiction
Being Mortal: Medicine and What Matters in the End,55.06,Four,Nonfiction
"A Murder Over a Girl: Justice, Gender, Junior High",13.2,Three,Nonfiction
For the Love: Fighting for Grace in a World of Impossible Standards,45.13,Three,Nonfiction
Finding God in the Ruins: How God Redeems Pain,46.64,Two,Nonfiction
The Man Who Mistook His Wife for a Hat and Other Clinical Tales,59.45,Four,Nonfiction
In Cold Blood,49.98,Four,Nonfiction
"Girl, Interrupted",42.14,Three,Nonfiction
Why Save the Bankers?: And Other Essays on Our Economic and Political Crisis,48.67,Two,Nonfiction
Talking to Girls About Duran Duran: One Young Man's Quest for True Love and a Cooler Haircut,25.15,Four,Nonfiction
My Mother Was Nuts,31.63,Four,Nonfiction
"Data, A Love Story: How I Gamed Online Dating to Meet My Match",32.35,Three,Nonfiction
The Jazz of Physics: The Secret Link Between Music and the Structure of the Universe,38.71,Three,Nonfiction
The Gunning of America: Business and the Making of American Gun Culture,16.81,Four,Nonfiction
The Geography of Bliss: One Grump's Search for the Happiest Places in the World,28.23,Two,Nonfiction
God Is Not Great: How Religion Poisons Everything,27.8,One,Nonfiction
We the People: The Modern-Day Figures Who Have Reshaped and Affirmed the Founding Fathers' Vision of America,31.95,Three,Nonfiction
Very Good Lives: The Fringe Benefits of Failure and the Importance of Imagination,50.66,Three,Nonfiction
"Unstuffed: Decluttering Your Home, Mind, and Soul",58.09,One,Nonfiction
Under the Banner of Heaven: A Story of Violent Faith,30.0,One,Nonfiction
"Trespassing Across America: One Man's Epic, Never-Done-Before (and Sort of Illegal) Hike Across the Heartland",53.51,One,Nonfiction
The Name of God is Mercy,37.25,Two,Nonfiction
Stiff: The Curious Lives of Human Cadavers,36.74,Three,Nonfiction
Spilled Milk: Based on a True Story,49.51,One,Nonfiction
"Rise of the Rocket Girls: The Women Who Propelled Us, from Missiles to the Moon to Mars",41.67,Four,Nonfiction
Outliers: The Story of Success,14.16,One,Nonfiction
Notes from a Small Island (Notes From a Small Island #1),40.17,One,Nonfiction
Night (The Night Trilogy #1),13.51,One,Nonfiction
"Miracles from Heaven: A Little Girl, Her Journey to Heaven, and Her Amazing Story of Healing",57.83,One,Nonfiction
Letter to a Christian Nation,22.2,One,Nonfiction
Let's Pretend This Never Happened: A Mostly True Memoir,45.11,One,Nonfiction
It's Never Too Late to Begin Again: Discovering Creativity and Meaning at Midlife and Beyond,42.38,One,Nonfiction
Into the Wild,56.7,Five,Nonfiction
